Gene	Num
CUX2	6
MYH8	6
MAP3K4	6
ANO9	6
MTMR4	6
B4GALNT3	6
KIAA2026	6
PCDHB1	6
BRD4	6
TIAM2	6
ATAD2B	6
NFXL1	6
PCDH17	6
KIAA1549L	6
RTN1	6
DISC1	6
WAPL	6
LCT	6
GPR149	6
LVRN	6
NRDC	6
CHPF	6
KIF1B	6
OR2G2	6
CSPG4	6
TP53BP2	6
DTX3	6
ACACA	6
ADCY3	6
ARHGEF15	6
CRYBG1	6
AXIN2	6
ADARB2	6
MUSK	6
CHD7	6
CHSY3	6
CEMIP	6
SCAPER	6
SPTBN4	6
DHX37	6
FLNC	6
PLCG1	6
ECPAS	6
KCNH1	6
IGDCC3	6
CSDE1	6
SRRM4	6
BCORL1	6
IKZF1	6
UBR2	6
RAI14	6
CACNA1S	6
EXO1	6
POSTN	6
PDE11A	6
SPEF2	6
ARFGEF3	6
AHDC1	6
PLEKHG1	6
GABRA6	6
WDR49	6
BCL11B	6
FURIN	6
ADAMTS7	6
KNTC1	6
AASDH	6
HGF	6
LDB3	6
LRIT1	6
KIAA1549	6
RTKN2	6
CCSER1	6
CDKN1A	6
MICAL3	6
GPR63	6
SF3B3	6
AKNA	6
LILRB5	6
MYH11	6
LGSN	6
AATK	6
BCAN	6
PAPPA	6
KRTAP10-7	6
KIAA1841	6
PIK3C2B	6
PIKFYVE	6
CGNL1	6
AFF1	6
CACNA1G	6
SLC26A7	6
ARHGAP22	6
FLT4	6
RASAL2	6
SMCHD1	6
RBP3	6
KIAA1522	6
CLCA1	6
PBX1	6
HMGCR	6
SLC39A12	6
APAF1	6
IQGAP1	6
ACAP2	6
PTPN14	6
PRRC2B	6
RGS7	6
TECTA	6
C10orf90	6
GRM1	6
CDH1	6
FOCAD	6
PCDH18	6
MROH2B	6
EFNB2	6
PKP4	6
FAM135B	6
ANKRD26	6
SUPT6H	6
SPATA16	6
FREM1	6
NRCAM	6
HEATR5B	6
PTGER3	6
CACNA1I	6
MAGEB6B	6
PLEKHG3	6
PLEKHH2	6
AMER1	6
DSP	6
INO80	6
HIPK2	6
ZNF347	6
ARHGEF17	6
FBXO42	6
MYOF	6
SEMA6C	6
KPRP	6
RICTOR	6
HK3	6
CCDC39	6
ZNF676	6
CACNA1C	6
HIP1	6
SEZ6L2	6
LRRC4C	6
SLC4A10	6
SLITRK4	6
GPR101	6
ABCC3	6
WDR33	6
GRAMD1B	6
N4BP2	6
SENP6	6
TULP4	6
CABIN1	6
PDPR	6
CADPS2	6
APP	6
TNRC6B	6
NMUR2	6
MDN1	6
MED14	6
EGFLAM	6
SFMBT2	6
SLFN11	6
AEBP1	6
PI4KA	6
OBSL1	6
GALNT17	6
SNAP91	6
ZNF7	6
MROH5	6
ALPK1	6
LAMB4	6
NRXN3	6
CPEB3	6
RIMBP3	6
ADAMTS13	6
COL9A1	6
CNTN6	6
CAMTA1	6
HFM1	6
PLEC	6
BNC2	6
LONP2	6
LAMB1	6
EFEMP1	6
MYO1E	6
DUOX2	6
COL4A2	6
SCN2A	6
CARMIL2	6
XDH	6
PDE8A	6
MAP1S	6
CLCA2	6
CTNNA3	6
OR2T4	6
FRMPD4	6
WDR7	6
COL9A2	6
CILP2	6
MFSD11	6
KATNIP	6
PRDM16	6
NUMA1	6
RAVER2	6
MORC2	5
GPRIN2	5
SCN3A	5
FRMPD1	5
NUP210L	5
GRIK4	5
ASAP1	5
CPSF1	5
ANLN	5
ZFYVE16	5
EPHA7	5
SERTAD4	5
RAB3GAP2	5
PTPRS	5
PITPNM2	5
VEGFC	5
PCDHB12	5
THBS3	5
NPC1L1	5
C14orf39	5
FER1L5	5
ANGPTL8	5
TLR3	5
CACTIN	5
RADIL	5
CKAP5	5
TEX15	5
USP22	5
AMER3	5
DTNA	5
KCNT2	5
CNOT1	5
ARHGEF12	5
ZNF28	5
TBX18	5
PHF2	5
ABCA10	5
TBC1D32	5
ERC1	5
DPYD	5
HCN1	5
KLHL32	5
WDR27	5
SCN10A	5
GABRA1	5
OR51A7	5
COL28A1	5
PCDHGA1	5
CEACAM3	5
IBTK	5
HSP90AA1	5
COBL	5
SYNPO2	5
FIG4	5
SLC12A7	5
KCTD16	5
SIGLEC9	5
FRMPD2	5
CDK9	5
PNMA8A	5
MTUS2	5
GFM2	5
CCR6	5
BCLAF1	5
KBTBD12	5
PTPN22	5
CRISPLD1	5
CCDC141	5
AUTS2	5
ADGRF5	5
SLC1A6	5
HSPA1L	5
SIGLEC8	5
POLD1	5
TRPM2	5
ADGRF1	5
NOL4	5
TUSC3	5
RBBP6	5
TOGARAM1	5
GRM3	5
MYH13	5
ARHGEF28	5
DAB2IP	5
USP38	5
SPINK5	5
OR51L1	5
CCDC60	5
ATP9A	5
OSBPL7	5
ARHGAP32	5
PPFIA2	5
TNFRSF21	5
RAG1	5
MICALL2	5
RXRB	5
TKTL2	5
PTPRO	5
ZNF827	5
MEFV	5
WASHC4	5
EGF	5
ESPNL	5
KIRREL2	5
BTRC	5
DSEL	5
KIR2DL3	5
SH3TC2	5
KCNH5	5
PLXNB1	5
ZNF202	5
CAND2	5
EFCAB13	5
OPN4	5
USP40	5
CTDP1	5
XPO5	5
TCERG1	5
OLFM3	5
APBA1	5
OPLAH	5
HAS1	5
DAZAP1	5
PADI1	5
DNAH6	5
PIK3C2A	5
NF2	5
TDRD1	5
UNC13A	5
MON2	5
SIRPB1	5
SCNN1G	5
CAPN11	5
TTC13	5
CACNA1F	5
PCDHB2	5
SLC12A4	5
CDH11	5
MAP3K11	5
LAMB3	5
XKR7	5
ABCA3	5
FAM120A	5
DOCK1	5
ITGA1	5
SLC36A3	5
MCM3AP	5
OR2T6	5
USP24	5
ZNF407	5
PCDHA6	5
PTPN12	5
FRMPD3	5
ZNF595	5
ZRANB3	5
SCAP	5
MYO1H	5
KTN1	5
CD5L	5
KCNQ3	5
ENGASE	5
DENND2B	5
PCF11	5
TEX11	5
PDZRN4	5
AP3B1	5
METTL21C	5
OR14A16	5
AKAP13	5
AFF4	5
MMS22L	5
CAMSAP2	5
IGHV1OR21-1	5
PDE10A	5
QRFPR	5
CNOT2	5
ZNF394	5
CDK5RAP2	5
RAD50	5
IL9R	5
ADAMTS14	5
ZNF334	5
HGFAC	5
GDF2	5
CACNA1D	5
PLEKHA6	5
ANGPT1	5
SLC4A8	5
PCDHGA4	5
GUCY1A1	5
MED12L	5
MYOM2	5
RIF1	5
SMARCC2	5
FAM13C	5
LRRC4	5
LTBP2	5
TEX14	5
ZNF423	5
TIGD5	5
LYST	5
GJA8	5
OLFML2B	5
TMEM132A	5
MYO5A	5
INF2	5
PDHA2	5
MCM10	5
OR5D14	5
COL6A2	5
CDC42BPA	5
ANKRD13A	5
OR2B11	5
TNC	5
PTK2B	5
BRWD3	5
STAT4	5
RERE	5
ZIM3	5
GABRG2	5
ROCK1	5
DNER	5
ERCC2	5
ATP1A4	5
ATP10A	5
PSD4	5
IL12RB2	5
APBA2	5
MMP16	5
EDC4	5
ZEB2	5
ZNF429	5
DPP10	5
KCNU1	5
WDR17	5
TRPC6	5
VPS39	5
FMNL2	5
SLIT3	5
ASB10	5
XKR4	5
SLC9C2	5
ERBB3	5
EPHB1	5
ERC2	5
AP2B1	5
OTOF	5
NIBAN1	5
PCDHGB7	5
ASNS	5
CEP68	5
SHROOM4	5
C9orf131	5
GLUD2	5
PCDHAC2	5
LRP12	5
STAT1	5
MCF2L	5
TMF1	5
PPAN-P2RY11	5
SCN7A	5
THEMIS	5
ZFP64	5
ABCA7	5
PLXNB3	5
CIC	5
FBXO38	5
OVCH1	5
KIF20B	5
PTK2	5
SIPA1L3	5
PPM1H	5
MAP1A	5
IL21R	5
CP	5
BRCA1	5
ZNF415	5
IL18RAP	5
CLTCL1	5
ST8SIA6	5
ROR2	5
CLCN1	5
TRPM1	5
TSPOAP1	5
PCDHA12	5
TERF1	5
SYNGAP1	5
SLC24A2	5
CDH8	5
PABPC5	5
MELK	5
HHIP	5
PTPN3	5
FPGT-TNNI3K	5
DISP1	5
BRPF1	5
RCOR3	5
MAOB	5
STON1	5
CD1B	5
L1CAM	5
CHD1	5
IMPG1	5
PLCL1	5
CACNA2D4	5
CEACAM5	5
LCOR	5
WNK3	5
ATP1A2	5
ADAM2	5
SGCZ	5
SLC45A4	5
LGR6	5
ACAD11	5
SAMD9L	5
OR5I1	5
ZNF365	5
SETD1A	5
MYBPC3	5
RPS6KA6	5
HIF3A	5
ARAP3	5
NR3C2	5
KRAS	5
PEAK1	5
ABCE1	5
SYT10	5
ATP2B4	5
LIPC	5
AQR	5
PDE6A	5
ZCCHC2	5
MED12	5
TASOR2	5
BICD1	5
GFRAL	5
CCDC191	5
FRG2C	5
TCAIM	5
CRMP1	5
NOX3	5
DLC1	5
ZNF99	5
USP20	5
DBN1	5
DLG5	5
USP5	5
CROCC	5
CC2D2A	5
DLEC1	5
SPAG6	5
KIF5C	5
OR2G6	5
DCAF6	5
KRT34	5
ADAM29	5
HDAC6	5
ARHGAP33	5
OPA1	5
JAK3	5
SPATA5L1	5
OR10K2	5
DYNC1LI2	5
CLASP2	5
DYRK1A	5
TFAP2D	5
MED24	5
TNRC6A	5
SLC9A4	5
MDC1	5
MSH6	5
SLC44A3	5
PTPRN	5
ITGAM	5
TRIP11	5
ZNF331	5
IQSEC2	5
TRIM28	5
KIF25	5
STAG1	5
DUOX1	5
IGSF10	5
PPP6R2	5
ZNF98	5
PSMD1	5
PLA2G3	5
ARHGAP24	5
ABCA2	5
NUP153	5
CDCP1	5
ELAC2	5
XIRP1	5
HMGXB4	5
GRIP2	5
GOLGA4	5
LUM	5
PKD2L2	5
IQGAP2	5
CISH	5
SALL3	5
DOT1L	5
JPH1	5
UTRN	5
CATSPER1	5
SBF1	5
ZNF479	5
RFC1	5
ZBTB7C	5
MGAT3	5
PPARGC1A	5
ADAM18	5
ST18	5
ATP13A4	5
KRT5	5
WRN	5
NWD1	5
FGD6	5
LATS1	5
FAM171B	5
ZC3H12C	5
C5	5
ALPK2	5
MCM7	5
THBS1	5
SEC23B	5
BOD1L1	5
ATP10D	5
NFATC2	5
PTPRK	5
STIL	5
ARFGEF1	5
KIF21B	5
DDX46	5
KIAA1614	5
KAT6B	5
HERC4	5
PSAP	5
CFP	5
BPIFC	5
RASSF10	5
SH3RF3	5
ZC3H18	5
SLCO3A1	5
STAB2	5
RXRA	5
CYP8B1	5
CC2D1A	5
ZNF236	5
MTMR7	5
SYCP1	5
ADAMTS18	5
CAVIN1	5
ZNF471	5
DICER1	5
PCDHA2	5
SLC26A4	5
HRG	5
WDR36	5
CIT	5
KIDINS220	5
REST	5
SHPRH	5
SYNJ1	5
DRP2	5
TSHZ2	5
ROS1	5
PCDHB6	5
NOX4	5
LAMC2	5
ATRX	5
ACAT2	5
DAAM1	5
TRPM3	5
SLC38A10	5
WNK4	5
GRIN3A	5
PTPRN2	5
DHX16	5
PCDHGB2	5
BRWD1	5
SCN5A	5
PDCD11	5
GMIP	5
PRAME	5
GIN1	5
MAN2C1	5
CRACD	5
ICAM5	5
SCAF1	5
SLCO6A1	5
SEMA3C	5
HNF1A	5
RAPGEF6	5
CDON	5
AP3D1	5
IQGAP3	5
MAP4K2	5
KCNA3	5
SRMS	5
RSF1	5
AFDN	5
SHANK2	5
BMX	5
QRICH2	5
MAP3K15	5
GRID1	5
PARD3	5
LHCGR	5
TASOR	5
GCC1	5
CCN3	5
PHF3	5
RNF17	5
CFH	5
THBS2	5
MAN2A2	5
FRYL	5
DENND4C	5
TTC3	5
SMARCA2	5
CFAP58	5
NOD2	5
ADAM28	5
ARHGAP39	5
NLRC3	5
SEMA5B	5
PRKD2	5
PRTG	5
MAGEC3	5
SLC2A2	5
LRRC8A	5
GIGYF1	5
POLE	5
VRTN	5
HIVEP1	5
MPO	5
NEU2	5
GALNTL6	5
ATP12A	5
DOCK3	5
KDM3B	5
PJA2	5
FBXL4	5
ZNF800	5
CAPN6	5
QRICH1	5
PER1	5
PCSK5	5
NOVA1	5
ATP2A2	5
RTL9	5
DDI1	5
SOX30	5
NTRK1	5
GRM5	5
WDR90	5
DYNC1I1	5
COL14A1	5
FLNA	5
CA9	5
LARP1B	5
ZNF512B	5
IGSF9	5
TRPM7	5
ZBTB2	5
NFIC	5
ARHGEF11	5
NSD2	5
SEC31B	5
FZD10	5
SLC39A10	5
CFAP43	5
ZFAND4	5
SPATA1	5
TRPM8	5
P2RY1	5
MEP1A	4
ANKS1A	4
BOP1	4
KDM4C	4
VCL	4
KIF13A	4
EPHA8	4
ZNF862	4
CAPN15	4
AP4E1	4
TAOK1	4
CEMIP2	4
MARCHF4	4
SPATA18	4
CHRNA4	4
ANKRD27	4
DOCK5	4
PNISR	4
RAI2	4
MAP3K14	4
CCDC144A	4
PLD5	4
EXOSC10	4
TMTC2	4
NEK10	4
KLHL38	4
SLC12A1	4
ADAMTS10	4
ALG10B	4
LRRC4B	4
C6orf118	4
LRIG2	4
OR4Q3	4
LRRIQ3	4
CEP120	4
ODF2	4
INTS1	4
ADGRE3	4
KRT38	4
FAM222B	4
NSD3	4
UGGT2	4
DNM3	4
TACR3	4
U2AF2	4
MOCOS	4
SLC30A8	4
ZNF71	4
TAGAP	4
C10orf71	4
POU3F2	4
SNX8	4
HNF4A	4
ELOA2	4
ARFGEF2	4
SULF1	4
KIAA1586	4
ULK2	4
PCDHB3	4
USP4	4
PSTPIP1	4
STAC	4
CD6	4
SUPT16H	4
ZFR2	4
GPATCH8	4
KANK4	4
ASAH2	4
AP3B2	4
CWC22	4
DLX5	4
TGFB1I1	4
RBM6	4
PDZK1	4
JADE1	4
SPIRE1	4
BEND4	4
CDHR1	4
LIPI	4
AMPD1	4
H2AC11	4
CHRM4	4
TOPORS	4
RNF148	4
ZBED9	4
MVK	4
VPS13D	4
SLC9A3	4
ROBO4	4
LMBR1L	4
UHRF1BP1L	4
REXO1	4
RIN3	4
ADNP	4
VAT1L	4
CHST10	4
IL17RD	4
EXOC3	4
TLK2	4
MIB1	4
SAFB2	4
CD163L1	4
STK31	4
ITGB3	4
NLRC5	4
ZNF608	4
CRACDL	4
DIAPH3	4
NLGN4Y	4
TBX2	4
TENT5D	4
OR2T27	4
DEPDC5	4
COG3	4
ABCC2	4
ARAP1	4
AXDND1	4
HDAC4	4
FOXP1	4
CPNE6	4
ZSWIM2	4
ITGA11	4
TSHZ3	4
PCDHB9	4
ZNF217	4
OR10G7	4
VN1R2	4
OR4M1	4
XPOT	4
STRADA	4
SLC23A2	4
PPP1R3F	4
BRCA2	4
COL1A2	4
GATB	4
AKR1C2	4
PTCH1	4
L3MBTL3	4
KCNH2	4
CEP95	4
SPATA13	4
PLCG2	4
PRRT1	4
EPHA6	4
LMTK2	4
PALD1	4
TBXT	4
PYHIN1	4
RNF145	4
PPP1R13B	4
CNGB3	4
GGNBP2	4
RFX6	4
ZNF366	4
VWA7	4
CEP89	4
GABRA5	4
GH2	4
UTP15	4
KNL1	4
ZCCHC14	4
TRIO	4
KHDC4	4
GSG1L	4
MAT1A	4
MAPK10	4
ZNF185	4
PDS5A	4
CHGB	4
EXOC7	4
EPHB2	4
RASGRF1	4
DYRK3	4
EHMT1	4
PCNX3	4
CD22	4
CCHCR1	4
CACNA2D3	4
RTTN	4
CHRNA7	4
ACSM4	4
CASZ1	4
PPP5C	4
HNRNPUL1	4
ZSWIM8	4
NR2F2	4
EIF4G3	4
KLB	4
NIN	4
NOP56	4
NRAS	4
PIK3CD	4
TAF3	4
KRT6A	4
KAT6A	4
PDCD7	4
NPSR1	4
ADCYAP1R1	4
AJM1	4
POGZ	4
PCSK7	4
NPAS4	4
RGS18	4
ARHGAP36	4
EML4	4
TOP2A	4
MARVELD2	4
CTR9	4
BRINP1	4
KCNN3	4
MCM2	4
KLHL35	4
APPBP2	4
CFAP206	4
ZC3H14	4
